Accession.Number,species.label,corolla.width,spur.length,blade.length,blade.width,blade.cleft,sepal.length,sepal.width,anther.exsertion
173478,flavescens,1.8,1.63,0.56,0.62,0,1.83,0.69,0.56
173448,flavescens,1.81,1.51,0.6,0.64,0,1.58,0.6,0.58
411507,flavescens,1.8,1.26,0.44,0.41,0,1.62,0.69,0.69
63536,flavescens,1.71,1.46,0.59,0.61,0,1.76,0.56,0.61
63666,flavescens,1.76,1.3,0.46,0.54,0,1.2,0.43,0.51
171269,flavescens,1.9,1.3,0.61,0.62,0,1.76,0.62,0.5
52365,flavescens,1.51,1.3,0.43,0.46,0,1.46,0.41,0.64
415286,flavescens,1.98,1.39,0.51,0.57,0,1.47,0.41,0.72
415456,flavescens,1.98,1.52,0.51,0.51,0,1.7,0.64,0.85
60505,flavescens,1.73,1.58,0.54,0.54,0,1.84,0.74,1.1
414822,flavescens,1.59,1.33,0.46,0.48,0,1.73,0.64,0.59
53118,flavescens,1.73,1.51,0.61,0.61,0,1.58,0.54,0.56
160513,flavescens,1.48,1.43,0.59,0.64,0,2.17,0.49,0.79
2014.015,flavescens,2.02,1.45,0.49,0.7,0,1.65,0.47,0.67
52931,flavescens,1.87,1.59,0.54,0.69,0,2.3,0.49,0.84
2014.008,flavescens,1.78,1.55,0.52,0.6,0,1.97,0.55,0.88
417539,flavescens,1.82,1.31,0.67,0.56,0,1.72,0.51,0.36
406803,flavescens,1.69,1.36,0.49,0.64,0,1.85,0.59,0.85
407027,flavescens,2.13,1.59,0.69,0.9,0,2.33,0.9,0.44
407853,flavescens,2.26,1.49,0.69,0.74,0,2.51,0.92,0.62
407008,flavescens,2.13,1.49,0.59,0.9,0,2.31,0.92,0.51
34882,flavescens,1.5,1.3,0.36,0.52,0,1.48,0.52,0.7
40874,flavescens,2.15,1.71,0.51,0.56,0,2.17,0.59,0.97
40875,flavescens,2.39,1.98,0.77,0.75,0,2.06,0.69,0.75
165592,flavescens,1.82,1.58,0.54,0.57,0,1.85,0.52,0.99
870433,flavescens,1.84,1.75,0.53,0.78,0,2.16,0.84,0.71
1155955,flavescens,2.15,1.51,0.65,0.76,0,1.61,0.62,0.87
1057369,flavescens,1.48,1.67,0.3,0.59,0,1.69,0.71,0.79
24868,flavescens,2.23,1.3,0.61,0.63,0,2.28,0.71,0.68
485648,flavescens,1.69,1.87,0.55,0.62,0,2.18,0.57,0.67
2637,flavescens,1.22,0.93,0.32,0.46,0,1.36,0.55,0.57
40086,formosa,1.22,1.56,0.15,0.29,0,1.2,0.47,1.34
5177,formosa,1.65,1.44,0.34,0.49,0,1.44,0.66,0.84
95969,formosa,1.91,1.96,0.3,0.53,0,2.16,0.76,1.12
6266,formosa,1.42,1.63,0.15,0.42,0,1.48,0.59,1.32
6267,formosa,1.49,1.65,0.15,0.44,0,1.52,0.57,1.14
140567,formosa,1.18,1.51,0.28,0.41,0,1.58,0.72,0.92
2012.009,formosa,1.09,1.5,0.31,0.42,0,1.55,0.65,1.16
29950,formosa,1.16,1.59,0.25,0.33,0,1.54,1.53,1.14
143354,formosa,1.63,1.57,0.41,0.53,1,1.52,0.53,1.04
1825,formosa,2.44,2.06,0.66,0.64,0,2.06,0.61,0.89
40087,formosa,1.9,2.22,0.56,0.61,0,2.57,0.61,0.89
21770,formosa,2.36,1.96,0.43,0.79,0,2.18,0.99,0.86
20901,formosa,1.35,1.79,0.31,0.47,0,2.06,1.01,1.35
59887,formosa,1.53,1.76,0.38,0.51,0,1.51,0.58,0.8
40088,formosa,1.38,1.69,0.26,0.37,0,1.58,0.57,1.27
60985,formosa,1.66,1.84,0.3,0.46,0,1.92,0.9,1.03
54393,formosa,2.33,1.64,0.58,0.56,0,2.15,0.77,0.61
30072,formosa,1.51,1.77,0.26,0.42,0,2.45,0.73,1.22
118373,formosa,1.85,1.83,0.53,0.56,0,1.96,0.51,0.81
V82108,formosa,1.58,1.76,0.2,0.46,1,2.31,1.06,1.27
83720,formosa,1.27,1.31,0.2,0.45,1,2.53,0.95,1.15
87693,formosa,1.55,1.62,0.13,0.35,1,2.18,0.57,1.09
V101535,formosa,1.32,1.56,0.18,0.29,0,2.27,0.75,1.27
V162484,formosa,1.62,1.7,0.17,0.4,1,2.28,0.78,1.46
V130244,formosa,1.66,1.95,0.19,0.43,1,2.67,0.99,1.15
V74855,formosa,1.72,1.96,0.17,0.34,0,2.63,0.74,1.57
V76073,formosa,1.72,1.76,0.19,0.3,0,2.65,0.76,1.5
V072847,formosa,1.57,1.76,0.24,0.37,0,2.15,0.74,1.23
V74357,formosa,1.32,1.75,0.2,0.36,0,1.43,0.52,0.8
124968,formosa,1.32,1.58,0.14,0.33,0,1.75,0.54,1.11
M034771,formosa,1.51,1.82,0.21,0.33,0,1.67,0.63,1.56
